what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1277410149299
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1277410149299
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277410149369
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277410150813
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277410152294
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1277410152795
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1277410152797
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1277410152798
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1277410152800
