what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.300.v20090911,"org.eclipse.core.variables",1277327818221
started,bundle,org.eclipse.debug.core,3.6.0.v20091130,"org.eclipse.debug.core",1277327818319
started,bundle,org.eclipse.cdt.make.core,6.0.0.200912110805,"org.eclipse.cdt.make.core",1277327818414
started,bundle,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui",1277327821649
started,bundle,org.eclipse.cdt.debug.core,6.1.0.200912110805,"org.eclipse.cdt.debug.core",1277327821728
started,bundle,org.eclipse.cdt.debug.ui,6.1.0.200912110805,"org.eclipse.cdt.debug.ui",1277327821771
started,bundle,org.eclipse.compare.core,3.5.100.I20090714-0800,"org.eclipse.compare.core",1277327825394
opened,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277327825433
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.200.v20091207-1800,"org.eclipse.ltk.ui.refactoring",1277327825528
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277327825734
executed,command,org.eclipse.ui.ide,3.6.0.I20091210-1200,"org.eclipse.ui.edit.text.openLocalFile",1277327825789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277327825791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277327839783
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277327850383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277327852059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277328234030
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277328238319
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277328240004
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200912110805,"org.eclipse.cdt.debug.mi.ui",1277328240921
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.1.0.200912110805,"org.eclipse.cdt.debug.mi.core",1277328240923
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.200912110805,"org.eclipse.cdt.dsf.gdb.ui",1277328240923
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.200912110805,"org.eclipse.cdt.dsf.ui",1277328240924
stopped,bundle,org.eclipse.cdt.launch,6.1.0.200912110805,"org.eclipse.cdt.launch",1277328240943
stopped,bundle,org.eclipse.cdt.debug.ui,6.1.0.200912110805,"org.eclipse.cdt.debug.ui",1277328240943
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.1.0.200912110805,"org.eclipse.cdt.dsf.gdb",1277328240947
