what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20091010,"org.eclipse.equinox.p2.directorywatcher",1277327609729
started,bundle,org.eclipse.equinox.p2.engine,1.1.0.v20091109,"org.eclipse.equinox.p2.engine",1277327609729
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20091023,"org.eclipse.equinox.p2.exemplarysetup",1277327609813
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090831,"org.eclipse.equinox.p2.garbagecollector",1277327609813
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20091019,"org.eclipse.equinox.p2.metadata",1277327609813
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.100.v20091023,"org.eclipse.equinox.p2.metadata.repository",1277327609814
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20091010,"org.eclipse.equinox.p2.reconciler.dropins",1277327609814
started,bundle,org.eclipse.equinox.p2.repository,1.0.0.v20091010,"org.eclipse.equinox.p2.repository",1277327609815
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20091010,"org.eclipse.equinox.p2.ui.sdk.scheduler",1277327609815
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20091010,"org.eclipse.equinox.p2.updatechecker",1277327609835
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20091203,"org.eclipse.equinox.preferences",1277327609835
started,bundle,org.eclipse.equinox.registry,3.5.0.v20091203,"org.eclipse.equinox.registry",1277327609835
started,bundle,org.eclipse.equinox.security,1.0.200.v20090928,"org.eclipse.equinox.security",1277327609835
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.200.v20090911-1356,"org.eclipse.equinox.simpleconfigurator.manipulator",1277327609837
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1277327609838
started,bundle,org.eclipse.help,3.5.0.v20091130,"org.eclipse.help",1277327609838
started,bundle,org.eclipse.jface,3.6.0.I20091207-1800,"org.eclipse.jface",1277327609903
started,bundle,org.eclipse.jsch.core,1.1.100.I20090825-0800,"org.eclipse.jsch.core",1277327609903
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1277327609903
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.monitor.ui",1277327609903
started,bundle,org.eclipse.team.core,3.5.0.I20091209-0800,"org.eclipse.team.core",1277327609903
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20091124-0800,"org.eclipse.team.cvs.core",1277327609903
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20091209-0800,"org.eclipse.team.cvs.ui",1277327609903
started,bundle,org.eclipse.team.ui,3.5.100.I20091209-0800,"org.eclipse.team.ui",1277327609903
started,bundle,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui",1277327609903
