what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.equinox.p2.ui,1.1.0.v20091028-1320,"org.eclipse.equinox.p2.ui",1277328315932
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1277328315936
