what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.0.I20091210-1200,"org.eclipse.ui.views.ProblemView",1277156303416
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.window.resetPerspective",1277156303941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156303949
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156310218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156344003
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156344147
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20091124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277156368972
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1277156369014
opened,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156369275
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156369357
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156374463
closed,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156374463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156376137
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156461451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156462852
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156485789
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.DebugLast",1277156487842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156487916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156513022
started,bundle,org.eclipse.cdt.dsf,2.1.0.200912110805,"org.eclipse.cdt.dsf",1277156513139
started,bundle,org.eclipse.cdt.dsf.gdb,2.1.0.200912110805,"org.eclipse.cdt.dsf.gdb",1277156513140
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.200912110805,"org.eclipse.cdt.dsf.gdb.ui",1277156514724
started,bundle,org.eclipse.cdt.dsf.ui,2.1.0.200912110805,"org.eclipse.cdt.dsf.ui",1277156514855
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.DebugLast",1277156515116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156516043
