what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160525900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160526265
activated,view,org.eclipse.ui.console,3.5.0.v20090907,"org.eclipse.ui.console.ConsoleView",1277160527032
error,log,,,"Error logged from Debug Core: ",1277160538686
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160560087
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160589053
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160602783
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160610960
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160618512
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.undo",1277160621049
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160623827
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160626879
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160627393
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160633835
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160638814
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160658578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160662523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160663049
activated,view,org.eclipse.ui.console,3.5.0.v20090907,"org.eclipse.ui.console.ConsoleView",1277160666841
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160674327
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160687181
error,log,,,"Error logged from Debug Core: ",1277160691496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160694610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160694772
error,log,,,"Error logged from Debug Core: ",1277160697556
