what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.compare,3.5.100.I20091207-1300,"org.eclipse.compare",1277328241256
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20091130,"org.eclipse.ui.externaltools",1277328241258
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui",1277328241370
activated,perspective,org.eclipse.team.cvs.ui,,"org.eclipse.team.cvs.ui.cvsPerspective",1277328303252
started,bundle,org.eclipse.osgi,3.6.0.v20091204,"org.eclipse.osgi",1277328303253
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20090831,"org.eclipse.equinox.simpleconfigurator",1277328303256
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1277328303257
started,bundle,org.eclipse.cdt.core,5.2.0.200912110805,"org.eclipse.cdt.core",1277328303257
started,bundle,org.eclipse.cdt.debug.core,6.1.0.200912110805,"org.eclipse.cdt.debug.core",1277328303257
started,bundle,org.eclipse.cdt.debug.ui,6.1.0.200912110805,"org.eclipse.cdt.debug.ui",1277328303257
started,bundle,org.eclipse.cdt.make.core,6.0.0.200912110805,"org.eclipse.cdt.make.core",1277328303258
started,bundle,org.eclipse.cdt.make.ui,6.1.0.200912110805,"org.eclipse.cdt.make.ui",1277328303259
started,bundle,org.eclipse.cdt.managedbuilder.core,6.1.0.200912110805,"org.eclipse.cdt.managedbuilder.core",1277328303277
started,bundle,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui",1277328303277
started,bundle,org.eclipse.compare.core,3.5.100.I20090714-0800,"org.eclipse.compare.core",1277328303277
started,bundle,org.eclipse.core.contenttype,3.4.100.v20091109,"org.eclipse.core.contenttype",1277328303278
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20090901-0800,"org.eclipse.core.databinding.observable",1277328303280
started,bundle,org.eclipse.core.expressions,3.4.100.v20091203,"org.eclipse.core.expressions",1277328303280
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20091207-1800,"org.eclipse.core.filebuffers",1277328303281
started,bundle,org.eclipse.core.filesystem,1.3.0.v20091209-1150,"org.eclipse.core.filesystem",1277328303302
started,bundle,org.eclipse.core.jobs,3.5.0.v20091125-1620,"org.eclipse.core.jobs",1277328303307
started,bundle,org.eclipse.core.net,1.2.100.I20091117-0800,"org.eclipse.core.net",1277328303308
started,bundle,org.eclipse.core.resources,3.6.0.v20091210,"org.eclipse.core.resources",1277328303309
started,bundle,org.eclipse.core.runtime,3.6.0.v20091204,"org.eclipse.core.runtime",1277328303310
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1277328303329
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1277328303330
started,bundle,org.eclipse.core.variables,3.2.300.v20090911,"org.eclipse.core.variables",1277328303330
started,bundle,org.eclipse.debug.core,3.6.0.v20091130,"org.eclipse.debug.core",1277328303332
