what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.DebugView",1277156517561
opened,view,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.VariableView",1277156523113
activated,perspective,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.DebugPerspective",1277156523171
opened,view,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.BreakpointView",1277156523351
opened,view,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.MemoryView",1277156523484
opened,view,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.RegisterView",1277156523529
opened,view,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.ModuleView",1277156523563
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156523596
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156531028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277156577194
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156581724
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156584382
opened,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156584486
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156584601
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156584630
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156584750
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156588348
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156588405
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156589980
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156590099
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156593628
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156597404
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156598684
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277156598742
executed,command,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui.commands.StepInto",1277156603036
