what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277161747289
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277161750629
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277161757461
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161758438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161762834
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161763945
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161777958
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161782767
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161813855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277161815836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162087630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162111920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162131428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162134291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162162269
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162214831
activated,view,org.eclipse.ui.console,3.5.0.v20090907,"org.eclipse.ui.console.ConsoleView",1277162220988
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162230435
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162264333
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162265120
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162266343
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162275167
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162281782
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162306747
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.undo",1277162378429
