what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.undo",1277162378669
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162392445
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162399173
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.copy",1277162416552
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.paste",1277162419423
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.selectAll",1277162443236
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162443392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162446609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162449590
activated,view,org.eclipse.ui.console,3.5.0.v20090907,"org.eclipse.ui.console.ConsoleView",1277162451745
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162467895
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.copy",1277162482019
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277162483866
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.paste",1277162489021
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162495175
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.copy",1277162497619
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.paste",1277162505353
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162517093
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277162532595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162536107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162536521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162543265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162543561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162546878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277162549937
