what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.0.v20091204,"org.eclipse.debug.ui",1277328303333
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20091110-0042,"org.eclipse.ecf.filetransfer",1277328303334
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.0.R200906100410,"org.eclipse.epp.usagedata.gathering",1277328303334
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1277328303335
started,bundle,org.eclipse.equinox.app,1.2.100.v20091203,"org.eclipse.equinox.app",1277328303335
started,bundle,org.eclipse.equinox.common,3.6.0.v20091203,"org.eclipse.equinox.common",1277328303336
started,bundle,org.eclipse.equinox.ds,1.1.100.v20091203,"org.eclipse.equinox.ds",1277328303350
started,bundle,org.eclipse.equinox.event,1.2.0.v20091023,"org.eclipse.equinox.event",1277328303352
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.200.v20091019,"org.eclipse.equinox.frameworkadmin",1277328303352
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20091019,"org.eclipse.equinox.frameworkadmin.equinox",1277328303353
started,bundle,org.eclipse.equinox.p2.core,1.1.0.v20091027-0948,"org.eclipse.equinox.p2.core",1277328303353
started,bundle,org.eclipse.equinox.p2.director,1.0.100.v20091023,"org.eclipse.equinox.p2.director",1277328303353
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20091010,"org.eclipse.equinox.p2.directorywatcher",1277328303372
started,bundle,org.eclipse.equinox.p2.engine,1.1.0.v20091109,"org.eclipse.equinox.p2.engine",1277328303373
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20091023,"org.eclipse.equinox.p2.exemplarysetup",1277328303373
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090831,"org.eclipse.equinox.p2.garbagecollector",1277328303373
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20091019,"org.eclipse.equinox.p2.metadata",1277328303374
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.100.v20091023,"org.eclipse.equinox.p2.metadata.repository",1277328303374
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20091010,"org.eclipse.equinox.p2.reconciler.dropins",1277328303375
started,bundle,org.eclipse.equinox.p2.repository,1.0.0.v20091010,"org.eclipse.equinox.p2.repository",1277328303375
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20091010,"org.eclipse.equinox.p2.ui.sdk.scheduler",1277328303376
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20091010,"org.eclipse.equinox.p2.updatechecker",1277328303376
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20091203,"org.eclipse.equinox.preferences",1277328303394
started,bundle,org.eclipse.equinox.registry,3.5.0.v20091203,"org.eclipse.equinox.registry",1277328303395
started,bundle,org.eclipse.equinox.security,1.0.200.v20090928,"org.eclipse.equinox.security",1277328303396
