what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.1.0.200912110805,"org.eclipse.cdt.managedbuilder.core",1277327627361
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.200912110805,"org.eclipse.cdt.make.core",1277327627361
stopped,bundle,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui",1277327627363
stopped,bundle,org.eclipse.cdt.core,5.2.0.200912110805,"org.eclipse.cdt.core",1277327627363
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20091010,"org.eclipse.equinox.p2.ui.sdk",1277327627363
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20091010,"org.eclipse.equinox.p2.ui.sdk.scheduler",1277327627363
stopped,bundle,org.eclipse.equinox.p2.ui,1.1.0.v20091028-1320,"org.eclipse.equinox.p2.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.ide.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.team.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.resources.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.I20091216-0000-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.context.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.help.ui",1277327627363
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.tasks.bugs",1277327627363
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.tasks.ui",1277327627363
stopped,bundle,org.eclipse.search,3.5.100.v20091207-1800,"org.eclipse.search",1277327627364
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.200.v20091207-1800,"org.eclipse.ltk.ui.refactoring",1277327627364
