what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1277155031763
ws,sysinfo,,,"gtk",1277155031763
locale,sysinfo,,,"en_US",1277155031763
processors,sysinfo,,,"2",1277155031763
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1277155031763
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1277155031763
java.specification.name,sysinfo,,,"Java Platform API Specification",1277155031763
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277155031763
java.specification.version,sysinfo,,,"1.6",1277155031763
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1277155031763
java.version,sysinfo,,,"1.6.0_14",1277155031763
java.vm.info,sysinfo,,,"mixed mode",1277155031763
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1277155031763
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1277155031763
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277155031763
java.vm.specification.version,sysinfo,,,"1.0",1277155031763
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1277155031763
java.vm.version,sysinfo,,,"14.0-b16",1277155031763
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.tasks.ui",1277155031781
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.I20091216-0000-e3x,"org.eclipse.mylyn.team.ui",1277155031796
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1277155031799
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1277155031878
started,bundle,org.eclipse.jsch.core,1.1.100.I20090825-0800,"org.eclipse.jsch.core",1277155032128
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20091124-0800,"org.eclipse.team.cvs.core",1277155032128
started,bundle,org.eclipse.team.ui,3.5.100.I20091209-0800,"org.eclipse.team.ui",1277155032170
