what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277159958068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277159972749
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277159999251
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160001804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160005965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160008779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160017251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160021077
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20091207-1800,"org.eclipse.ui.edit.text.showInformation",1277160056586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160056601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160057686
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160073487
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160077204
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160089293
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160112425
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160126446
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277160129047
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160210738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160213227
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160213513
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160243661
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160259442
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160262731
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277160263142
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.file.save",1277160272569
