what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.team.cvs.ui,,"org.eclipse.team.cvs.ui.cvsPerspective",1277327609466
started,bundle,org.eclipse.osgi,3.6.0.v20091204,"org.eclipse.osgi",1277327609467
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20090831,"org.eclipse.equinox.simpleconfigurator",1277327609484
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1277327609648
started,bundle,org.eclipse.core.contenttype,3.4.100.v20091109,"org.eclipse.core.contenttype",1277327609648
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20090901-0800,"org.eclipse.core.databinding.observable",1277327609649
started,bundle,org.eclipse.core.expressions,3.4.100.v20091203,"org.eclipse.core.expressions",1277327609649
started,bundle,org.eclipse.core.filesystem,1.3.0.v20091209-1150,"org.eclipse.core.filesystem",1277327609649
started,bundle,org.eclipse.core.jobs,3.5.0.v20091125-1620,"org.eclipse.core.jobs",1277327609649
started,bundle,org.eclipse.core.net,1.2.100.I20091117-0800,"org.eclipse.core.net",1277327609649
started,bundle,org.eclipse.core.resources,3.6.0.v20091210,"org.eclipse.core.resources",1277327609649
started,bundle,org.eclipse.core.runtime,3.6.0.v20091204,"org.eclipse.core.runtime",1277327609649
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1277327609650
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1277327609670
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20091110-0042,"org.eclipse.ecf.filetransfer",1277327609670
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.0.R200906100410,"org.eclipse.epp.usagedata.gathering",1277327609671
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1277327609671
started,bundle,org.eclipse.equinox.app,1.2.100.v20091203,"org.eclipse.equinox.app",1277327609671
started,bundle,org.eclipse.equinox.common,3.6.0.v20091203,"org.eclipse.equinox.common",1277327609671
started,bundle,org.eclipse.equinox.ds,1.1.100.v20091203,"org.eclipse.equinox.ds",1277327609671
started,bundle,org.eclipse.equinox.event,1.2.0.v20091023,"org.eclipse.equinox.event",1277327609679
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.200.v20091019,"org.eclipse.equinox.frameworkadmin",1277327609679
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20091019,"org.eclipse.equinox.frameworkadmin.equinox",1277327609679
started,bundle,org.eclipse.equinox.p2.core,1.1.0.v20091027-0948,"org.eclipse.equinox.p2.core",1277327609680
started,bundle,org.eclipse.equinox.p2.director,1.0.100.v20091023,"org.eclipse.equinox.p2.director",1277327609680
