what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20091124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277155591456
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155605053
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155617268
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277155617305
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20091124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277155619032
started,bundle,org.eclipse.compare,3.5.100.I20091207-1300,"org.eclipse.compare",1277155632329
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155633711
executed,command,org.eclipse.ltk.ui.refactoring,3.4.200.v20091207-1800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1277155635426
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.delete",1277155635426
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155635447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155638712
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155665801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155673794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155676443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155677921
executed,command,org.eclipse.ltk.ui.refactoring,3.4.200.v20091207-1800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1277155679318
executed,command,org.eclipse.ui,3.6.0.I20091209-1800a,"org.eclipse.ui.edit.delete",1277155679318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155679347
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155683963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155716910
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155722334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155726586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155727744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,"",1277155742805
activated,editor,org.eclipse.cdt.ui,5.2.0.200912110805,"org.eclipse.cdt.ui.editor.CEditor",1277155742841
